"Model","Accuracy","MAE","MSE","AUC"
"classification_model",0.754375,0.00014033721810659063,0.00008476923897003571,0.998567348323409
"concatenate_model",0.88475,0.1453421687677781,0.08454584183640262,0.9518134062499999
"cosine_metrics_model",0.87425,0.169484390202746,0.09319845218051803,0.9441292499999999
